n_estimators,num_leaves,learning_rate,k,threshold,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,5,0.05,8,0.5499999999999999,0.5054223744292238,0.5698757763975155,0.1364565904443205,-0.026575970312676223,-12.718078137618075,0.4964223764093669,0.8920709136956946,-0.5254290334675178,-56.40807213613273
50,5,0.05,8,0.5999999999999999,0.4888698630136986,0.575,0.0042758877114705334,0.0010533599773252522,-3.871810562955443,0.4885408708938121,0.9966880966296513,-0.5219733820412447,-55.319983848194106
50,5,0.05,8,0.6499999999999999,0.488679604261796,0.6666666666666666,0.0014872652909462725,-0.009183410448031504,-2.8366647239774556,0.48847619047619045,0.9992207286187414,-0.5270283346300619,-55.79245829800488
50,5,0.05,9,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,9,0.39999999999999997,0.5128424657534246,0.5123209169054441,0.9972113775794758,0.9124618661628687,-19.631271500803958,0.6428571428571429,0.005260081823495032,4.8103474123761814e-05,-2.583156909118661
50,5,0.05,9,0.44999999999999996,0.5206430745814308,0.5195357389105952,0.8404907975460123,0.5566229337209614,-16.658056139549988,0.5259668508287293,0.18546658873952854,-0.20066737578591043,-23.000537286048438
50,5,0.05,9,0.49999999999999994,0.5296803652968036,0.5409681672631381,0.5339282394497118,0.31399730451261587,-12.692936859510185,0.5181625985008649,0.5252289109682446,-0.34005095550861975,-38.51533426096873
50,5,0.05,9,0.5499999999999999,0.505517503805175,0.5693486590038315,0.13812976389663506,-0.02635793391241381,-12.739668059167483,0.4964700771152384,0.8905123709331775,-0.5252156546944663,-56.17331376337054
50,5,0.05,9,0.5999999999999999,0.4890601217656012,0.5869565217391305,0.0050195203569436695,0.004684259716001726,-3.871810562955457,0.48862984903497036,0.996298460939022,-0.5202345847113148,-55.157462578734815
50,5,0.05,9,0.6499999999999999,0.4887747336377473,0.7272727272727273,0.0014872652909462725,0.008017341682292622,-1.149891951032514,0.48852490239024854,0.9994155464640561,-0.5189575723085345,-55.03810325304302
50,5,0.05,10,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
